bvmc_id,nombre,wikidata_uri,pais,sexo,imagen,ano_nacimiento,ano_fallecimiento,generos
53494,Gottfried Reinhardt,http://www.wikidata.org/entity/Q85019,Austria,masculino,,1913,1994,
53494,Gottfried Reinhardt,http://www.wikidata.org/entity/Q85019,Estados Unidos,masculino,,1913,1994,
61036,Samuel Stryk,http://www.wikidata.org/entity/Q85289,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Samuel-Stryk.jpg,1640,1710,
14825,Ferdinand Wolf,http://www.wikidata.org/entity/Q85519,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Wolf%20Litho.jpg,1796,1866,
61205,Ahasverus Fritsch,http://www.wikidata.org/entity/Q85638,Alemania,masculino,,1629,1701,
27898,Joseph Jakob von Plenck,http://www.wikidata.org/entity/Q86133,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Jakob%20Plenck.jpg,1738,1807,
60746,Heinrich von Cocceji,http://www.wikidata.org/entity/Q86355,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich%20von%20Cocceji.jpg,1644,1719,
1359,Gustav Falke,http://www.wikidata.org/entity/Q86443,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Falke%201905.jpg,1853,1916,
1809,Johann Gabriel Seidl,http://www.wikidata.org/entity/Q86587,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Gabriel%20Seidl.jpg,1804,1875,
73171,Joachim Wilhelm Franz Philipp von Holtzendorff,http://www.wikidata.org/entity/Q86934,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Die%20Gartenlaube%20%281875%29%20b%20537.jpg,1829,1889,
19904,Gregor Haloander,http://www.wikidata.org/entity/Q86973,Alemania,masculino,,1501,1531,
43731,Erich Lessing,http://www.wikidata.org/entity/Q87291,Austria,masculino,,1923,,
60469,Nikolaus Gerbel,http://www.wikidata.org/entity/Q87535,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Gerbel.jpg,1485,1560,
7531,Antón Rubinstein,http://www.wikidata.org/entity/Q87567,Imperio ruso,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Ilja%20Jefimowitsch%20Repin%20007.jpg,1829,1894,sinfonía#ópera
59861,Caspar Schoppe,http://www.wikidata.org/entity/Q87581,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Caspar%20Scioppus%20-%20Kupferstichportrait.JPG,1576,1649,
31921,Luca Pacioli,http://www.wikidata.org/entity/Q87620,República de Florencia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Pacioli.jpg,1445,1517,
19492,Simon Grynaeus,http://www.wikidata.org/entity/Q87636,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Grynaeus%20%281493-1541%29.jpeg,1493,1541,
27441,Simon Grynaeus,http://www.wikidata.org/entity/Q87636,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Grynaeus%20%281493-1541%29.jpeg,1493,1541,
2386,Moritz Gottlieb Saphir,http://www.wikidata.org/entity/Q87685,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Saphir%20Moritz.jpg,1795,1858,
18192,Johannes Crato von Krafftheim,http://www.wikidata.org/entity/Q87688,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Johann-Crato-von-Krafftheim.jpg,1519,1585,
43369,Heinrich Besseler,http://www.wikidata.org/entity/Q87832,Alemania,masculino,,1900,1969,
